Year;Name
1963;Irazu
1963;Agung
1963;Semeru
1963;Agung
1963;Villarrica
1963;Batur
1963;Fuego
1963;Irazu
1964;Paluweh
1964;Villarrica
1964;Dieng Volc Complex
1965;Taal
1965;Kick-'em-Jenny
1966;Tinakula
1966;Kelut
1966;Awu
1967;Semeru
1967;Deception Island
1968;Mayon
1968;Arenal
1969;Merapi
1969;Iya
1969;Didicas
1969;Narugo
1970;Campi Flegrei
1970;Hekla
1971;Tinakula
1971;Fuego
1971;La Palma
1971;Villarrica
1971;Kusatsu-Shirane
1972;Hakone
1972;Ritter Island
1973;Vestmannaeyjar
1973;Paluweh
1973;Iliwerung
1974;Karangetang [Api Siau]
1974;Sakura-jima
1974;Niigata-Yake-yama
1974;Sakura-jima
1974;Fuego
1974;Ritter Island
1974;Merapi
1975;Marapi
1975;Arenal
1975;Kilauea
1976;Kusatsu-Shirane
1976;Sangay
1976;Semeru
1976;Karangetang [Api Siau]
1976;Merapi
1977;Karthala
1977;Krafla
1977;Kliuchevskoi
1977;Usu
1978;Usu
1978;Bulusan
1978;Santa Maria
1978;Semeru
1978;Tangkubanparahu
1979;Dieng Volc Complex
1979;Karkar
1979;Soufriere St. Vincent
1979;Etna
1979;Iliwerung
1979;Aso
1980;St. Helens
1980;Hekla
1980;Hood
1981;Etna
1981;Semeru
1981;Alaid
1981;Semeru
1981;Mayon
1981;Paluweh
1981;Vilyuchik
1982;Galunggung
1983;Kliuchevskoi
1983;Colo [Una Una]
1983;Iliwerung
1983;Miyake-jima
1984;Oku Volc Field
1984;Mayon
1984;On-take
1984;Etna
1985;Semeru
1985;Ruiz
1985;Etna
1986;Akita-Yake-yama
1986;Stromboli
1986;Oku Volc Field
1986;Merapi
1986;Oshima
1987;Pacaya
1987;Etna
1987;Sirung
1988;Banda Api
1988;Arenal
1988;Semeru
1988;Lonquimay
1988;Akita-Yake-yama
1989;Aso
1989;Kirishima
1990;Shiveluch
1990;Kelut
1990;Aso
1990;Aso
1990;Sabancaya
1990;Rabaul
1990;Santa Maria
1990;Aso
1990;Kelut
1991;Unzen
1991;Pinatubo
1991;Mutnovsky
1991;Karthala
1991;Lokon-Empung
1991;Etna
1992;Karangetang [Api Siau]
1992;Dieng Volc Complex
1992;Karangetang [Api Siau]
1992;Marapi
1992;Pinatubo
1992;Spurr
1992;Semeru
1993;Galeras
1993;Wurlali
1993;Mayon
1993;Guagua Pichincha
1993;Kilauea
1993;Krakatau
1993;Unzen
1993;Pinatubo
1993;Pinatubo
1994;Yasur
1994;Semeru
1994;Aso
1994;Huila
1994;Rabaul
1994;Rinjani
1994;Merapi
1995;Yasur
1995;Yake-dake
1995;Fogo
1995;Pacaya
1995;Kelimutu
1995;Parker
1996;Karymsky
1996;Popocatepetl
1996;Kanlaon
1996;Maderas
1996;Grimsvotn
1996;Manam
1997;Merapi
1997;Karangetang [Api Siau]
1997;Soufriere Hills
1997;Hakkoda Group
1997;Soufriere Hills
1997;Semeru
1997;Adatara
1997;Aso
1997;Soufriere Hills
1998;Kilauea
1998;Kelut
1998;San Cristobal
1999;Soufriere Hills
1999;Fuego
1999;Shiveluch
1999;Guagua Pichincha
1999;Tungurahua
2000;Miyake-jima
2000;Semeru
2000;Arenal
2000;Kilauea
2000;Merapi
2001;Etna
2001;Etna
2001;Merapi
2001;Stromboli
2002;Karangetang [Api Siau]
2002;Etna
2002;Reventador
2002;Stromboli
2002;Semeru
2003;Soufriere Hills
2004;Egon
2004;Tengger Caldera
2004;Manam
2005;Manam
2005;Santa Ana
2005;Karthala
2006;Raoul Island
2006;Soufriere Hills
2006;Bulusan
2006;Merapi
2006;Tungurahua
2006;Tungurahua
2006;Mayon
2007;Manam
2007;Huila
2007;Salak
2008;Chaiten
2008;Kasatochi
2008;Tungurahua
2008;Huila
2009;Redoubt
2009;Kilauea
2010;Tungurahua
2010;Eyjafjallajokull
2010;Pacaya
2010;Sarigan
2010;Karangetang [Api Siau]
2010;Sinabung
2010;Merapi
2010;Tungurahua
2010;Tengger Caldera
2011;Merapi
2011;Kirishima
2011;Bulusan
2011;Karangetang [Api Siau]
2011;Tungurahua
2011;Puyehue
2011;Nabro
2011;Katla
2011;Lokon-Empung
2011;Gamalama
2012;Kilauea
2012;Kilauea
2012;Tolbachik
2013;Merapi
2013;Paluweh
2013;Mayon
2013;Paluweh
2013;Ubinas
2013;Sakura-jima
2013;Sinabung
2013;Okataina
2014;Sinabung
2014;Kelut
2014;On-take
2014;Kilauea
2014;Fogo
2014;Gamalama
2015;Sinabung
2015;Calbuco
2015;Karangetang [Api Siau]
2015;Manam
2015;Sinabung
2015;Okataina
2016;Sinabung
2016;Sinabung
2016;Yellowstone
2016;Rinjani
2016;Aso
2017;Etna
2017;Sinabung
2017;Fuego
2017;Dieng Volc Complex
2017;Campi Flegrei
2017;Aoba
2017;Merapi
2017;Sinabung
2018;Kadovar
